Designator,Mid X,Mid Y,Rotation,Layer
C1,14.03,-43.81,0.0,top
C10,30.4,-24.655,90.0,top
C11,21.31738,-27.02,180.0,top
C12,31.615,-30.84,0.0,top
C13,20.81738,-31.05,180.0,top
C14,26.6,-35.13,270.0,top
C15,31.675,-27.24,0.0,top
C16,14.4975,-31.34,0.0,top
C17,31.675,-26.19,0.0,top
C18,21.81,-38.185,90.0,top
C19,14.4975,-22.91,0.0,top
C2,40.04,-54.79,90.0,top
C20,26.51,-39.425,270.0,top
C21,21.59,-44.86,90.0,top
C22,8.62,-17.35,0.0,top
C23,56.94,-50.58,270.0,top
C24,15.24,-12.08,180.0,top
C3,50.87,-24.76,90.0,top
C4,19.855,-14.42,180.0,top
C5,41.28,-24.8,270.0,top
C6,25.08,-22.815,90.0,top
C7,28.14,-35.61,0.0,top
C8,29.393332,-24.655,90.0,top
C9,26.08,-22.815,90.0,top
D2,36.089,-26.33,180.0,top
F1,59.3925,-23.09125,0.0,top
J1,37.38,-53.1,180.0,top
J11,22.78,-2.81,270.0,top
J12,30.055,-39.02,90.0,top
J2,13.41,-3.515,90.0,top
J3,14.6,-52.21,0.0,top
J4,4.16,-24.16,0.0,top
J5,54.0,-4.03,180.0,top
J6,61.12,-18.03,90.0,top
J8,57.72,-36.46,90.0,top
J9,48.145,-48.995,0.0,top
Q1,54.1475,-24.76,0.0,top
R1,36.089,-24.3,180.0,top
R10,8.47,-14.905,0.0,top
R11,10.77,-49.13,0.0,top
R12,19.71,-46.76,270.0,top
R13,55.66,-18.63,270.0,top
R14,52.24,-17.75,180.0,top
R15,24.135,-36.05,0.0,top
R16,34.04,-34.42,180.0,top
R17,16.02,-43.81,0.0,top
R18,18.37,-45.12,90.0,top
R19,28.57,-16.19,0.0,top
R2,15.24,-14.02,180.0,top
R20,28.57,-17.333333,0.0,top
R21,28.57,-18.476666,0.0,top
R22,28.57,-19.62,0.0,top
R3,34.04,-35.49,180.0,top
R4,27.38,-24.655,270.0,top
R5,28.386666,-24.655,270.0,top
R6,40.6,-10.88,270.0,top
R7,36.75,-10.88,270.0,top
R8,32.9,-10.88,270.0,top
R9,29.05,-10.88,270.0,top
RV1,28.17,-48.02,270.0,top
SW1,3.99,-12.689,270.0,top
SW2,61.951,-30.0275,270.0,top
SW3,61.951,-43.6,270.0,top
SW4,46.92,-33.32,270.0,top
U1,16.74,-18.345,0.0,top
U10,52.93,-20.09,180.0,top
U11,13.39,-8.12,270.0,top
U2,46.01,-22.11,90.0,top
U3,26.47,-29.84,0.0,top
U4,14.47,-27.04,180.0,top
U5,14.4975,-35.555,180.0,top
U6,49.4,-10.62,0.0,top
U7,36.295,-17.665,180.0,top
U8,14.59,-46.27,0.0,top
Y2,24.135,-38.805,90.0,top
